,acronym,projectUrl,foundProjectUrl1,MatchScore1,Same Web Resource,Same Site
0,FAMILIESANDSOCIETIES,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,100.0,1,
1,HLEG,http://www.hleg.de/,http://www.hleg.de/,100.0,1,
2,NOTOX,http://www.notox-sb.eu/,http://notox-sb.eu/,100.0,1,
3,HEAR-EU,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,0.0,0,
4,GAMMA,http://www.gamma-project.eu/,http://www.gamma-project.eu/,100.0,1,
5,COSMOS+,http://ncp-space.net/,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,50.0,0,1
6,HYPOLED,http://www.hypoled.org/,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/pdf,0.0,0,
7,GENESYS,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,0.0,0,
8,FOODMANUFUTURE,http://www.foodmanufuture.eu/,https://ec.europa.eu/research/conferences/2015/expo2015/pdf/presentations/eurodish_foodmanufuture_dr_lilia_ahrne.pdf,0.0,0,
9,HIGHTECH EUROPE,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,0.0,0,
10,PLEASURE,http://www.pleasure-fp7.com/,http://ec.europa.eu/health/nutrition_physical_activity/docs/ev_20150924_co05_en.pdf,0.0,0,
11,SHOCKMEAT,http://www.shockmeat.eu/about-shockmeat/general-information.html,http://www.shockmeat.eu/consortium/cluster-technology.html,54.0,0,1
12,RECAPT,http://www.recapt.org/,http://www.eufic.org/page/en/page/MEDIACENTRE/podid/recapt/,0.0,0,
13,TACMON,http://www.tacmon.eu/new/,http://www.tacmon.eu/,100.0,1,
14,EAGLE,http://www.eagle-fp7.eu/,http://www.eaglesolar.eu/,0.0,0,
15,CLICO,http://www.clico.org/,http://www.clico.org/,100.0,1,
16,ACRIMAS,http://www.acrimas.eu/,http://www.acrimas.eu/,100.0,1,
17,FUTURENANONEEDS,http://www.futurenanoneeds.eu/,http://www.futurenanoneeds.eu/,100.0,1,
18,HI-FRE,http://www.hi-fre.eu/,http://www.hi-fre.eu/index.php?id=4,69.0,0,1
19,MS.MONINA,http://www.ms-monina.eu/home,http://www.ms-monina.eu/,72.0,0,1
20,TDSEXPOSURE,http://tds-exposure.eu/,http://tds-exposure.eu/,100.0,1,
21,OBELIX,http://www.theobelixproject.org/,http://www.theobelixproject.org/,69.0,1,
22,E-HUB,http://www.e-hub.org/,http://www.e-hub.org/,100.0,1,
23,ISAC,http://www.gmes-isac.info/index.html,http://www.gmes-isac.info/pages/services.html,0.0,0,
24,WHEY2FOOD,http://www.whey2food.eu/,http://www.whey2food.eu/,100.0,1,
25,NOSHAN,http://www.noshan.eu/index.php/en/,http://noshan.eu/index.php/en/project,0.0,0,
26,NANOVALID,http://www.nanovalid.eu/,http://www.nanovalid.eu/,93.0,1,
27,BACCHUS,http://www.bacchus-fp7.eu/,http://www.bacchus-fp7.eu/,100.0,1,
28,NACLIM,http://www.naclim.eu/,http://www.sams.ac.uk/stuart-cunningham/naclim,0.0,0,
29,IMAGINES,http://www.fp7-imagines.eu/,http://fp7-imagines.eu/,99.0,1,
30,N2P,http://www.n2p-project.eu/,http://www.n2p-project.eu/,100.0,1,
31,ICATSEM,http://icatsem.u-bordeaux4.fr/,http://icatsem.u-bordeaux4.fr/,100.0,1,
32,NEUJOBS,http://www.neujobs.eu/,http://www.case-research.eu/en/node/52580,0.0,0,
33,ENACT,http://enacting-citizenship.eu/,http://www.enacting-citizenship.eu/,100.0,1,
34,CUPESSE,http://cupesse.eu/,http://cupesse.eu/,100.0,1,
35,IMPACT,http://www.csr-impact.eu/,http://www.csr-impact.eu/,100.0,1,
36,SOCIAL POLIS,http://www.socialpolis.eu/,http://www.socialpolis.eu/,100.0,1,
37,MAXCAP,http://www.maxcap-project.eu/,https://ec.europa.eu/research/social-sciences/index.cfm?pg=events&eventcode=61EEBE30-BF2B-18DD-0B3AE0A368F72045,0.0,0,
38,FLOWS,http://www.flows-eu.eu/,http://www.flows-eu.eu/,100.0,1,
39,SYBILLA,http://sybilla-t-cell.de/,http://sybilla-t-cell.de/,100.0,1,
40,MYWATER,http://mywater-fp7.eu/,http://mywater-fp7.eu/wp-content/uploads/MyWater-Lets-embrace-space.pdf,0.0,0,
41,SMALL,http://www.small-project.eu/,http://www.small-project.eu/,100.0,1,
42,FAHRE,http://www2.spi.pt/fahre/,http://www2.spi.pt/fahre/,100.0,1,
43,BIND,http://bind.upatras.gr/,http://bind.upatras.gr/,100.0,1,
44,WSAN4CIP,http://www.wsan4cip.eu/,http://www.wsan4cip.eu/,100.0,1,
45,TENLAW,http://www.tenlaw.uni-bremen.de/,http://www.tenlaw.uni-bremen.de/,0.0,0,
46,THRIVE-RITE,http://www.thriverite.eu/,http://www.thriverite.eu/news,0.0,0,
47,ISA-PACK,http://www.isapack.eu/,http://www.ecsel-ju.eu/web/downloads/Consortium/937__itene.pdf,0.0,0,
48,BIOSONIC,http://www.biosonic-fp7.eu/,http://www.cepf-eu.org/vedl/biosonic%20leaflet%20v10(1).pdf,0.0,0,
49,IPPA,http://www.ippaproject.eu/,http://www.ippaproject.eu/,100.0,1,
50,DISCUS,http://www.discus-fp7.eu/,http://www.discus-fp7.eu/,94.0,1,
51,UQUAM,http://www.uquam.eu/,http://www.uquam.eu/,100.0,1,
52,FLAGSHIP,http://flagship-project.eu/,http://flagship-project.eu/,97.0,1,
53,SUNGREEN,http://sungreen.ung.si/,http://sungreen.ung.si/measurements-art-exhibition-vanja-mervi%C4%8D-narvika-bovcon-and-ale%C5%A1-vaupoti%C4%8D-ljubljana,75.0,0,1
54,GREENLION,http://www.greenlionproject.eu/homepage,http://www.greenlionproject.eu/,100.0,1,
55,BRISK,http://briskeu.com/,http://briskeu.com/,100.0,1,
56,COSMIC,http://www.cosmic-project.eu/,http://www.cosmic-project.eu/,93.0,1,
57,HYDRA,http://www.hydra-space.eu/,http://www.hydra-space.eu/,100.0,1,
58,ALICE RAP,http://www.alicerap.eu/,http://www.alicerap.eu/,99.0,1,
59,EPISTOP,http://www.epistop.eu/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/epistop_en.html,0.0,0,
60,NORS,http://nors.aeronomie.be/,http://nors.aeronomie.be/,96.0,1,
61,SPACE-DATA ROUTERS,http://www.spacedatarouters.eu/,http://www.spacedatarouters.eu/,99.0,1,
62,CASCEFF,http://casceff.eu/en/Sidor/default.aspx,http://www.casceff.eu/en/about/Sidor/default.aspx,36.0,0,1
63,SO2SAY,http://so2say.eu/,https://www.wageningenur.nl/en/show/SO2SAY-Replacement-of-sulphur-dioxide-SO2-in-food-keeping-the-same-quality-and-shelflife-of-the-products.htm,0.0,0,
64,PERFORMANCE,http://www.performance-fp7.eu/,http://www.performance-fp7.eu/,100.0,1,
65,PRESERVEWINE,http://www.preservewine.fraunhofer.eu/,http://www.preservewine.fraunhofer.eu/,100.0,1,
66,ESPACE,http://espace.oma.be/,http://adsabs.harvard.edu/abs/2011epsc.conf.1833T,0.0,0,
67,ARIMNET,http://www.arimnet.net/,http://www.arimnet.net/,100.0,1,
68,GRAFOL,http://www.grafol.eu/,http://www.2020-horizon.com/GRAFOL-GRAPHENE-CHEMICAL-VAPOUR-DEPOSITION-ROLL-TO-ROLL-TECHNOLOGY(GRAFOL)-s2602.html,0.0,0,
69,MUPROD,http://www.muprod.eu/,http://www.muprod.eu/,100.0,1,
70,MOVE IT!,http://www.moveit-fp7.eu/,http://www.moveit-fp7.eu/,100.0,1,
71,RECOVER,http://www.vtt.fi/sites/recover/en,http://theredddesk.org/countries/initiatives/science-based-remote-sensing-services-support-redd-and-sustainable-forest,0.0,0,
72,E-RARE-2,http://www.erare.eu/,http://www.erare.eu/,100.0,1,
73,SOMABAT,http://www.somabat.eu/,http://www.springer.com/cda/content/document/cda_downloaddocument/9783319127057-c2.pdf?SGWID=0-0-45-1491994-p177051544,0.0,0,
74,ERMITAGE,http://ermitage.cs.man.ac.uk/,http://ermitage.cs.man.ac.uk/?q=about,0.0,0,
75,PÂ²-ROTECT,http://www.p2rotect-fp7.eu/,http://www.p2rotect-fp7.eu/,100.0,1,
76,MORDRED,http://webhotel2.tut.fi/fys/mordred/,http://www.tut.fi/mordred,100.0,1,
77,POLYTUBES,http://www.polytubes.net/,http://www.polytubes.net/polytubesv1/,0.0,0,
78,IKNOW,http://community.iknowfutures.eu/,https://rafaelpopper.files.wordpress.com/2010/04/popper_iknow_fan_club.pdf,0.0,0,
79,SUBITO,http://www.subito-project.eu/,http://www.subito-project.eu/,100.0,1,
80,HARCANA,http://www.harcana.eu/,http://www.harcana.eu/,100.0,1,
81,SWUP-MED,http://swup-med.dk/,https://ec.europa.eu/eip/agriculture/en/content/swup-med-sustainable-water-use-securing-food-production-dry-areas-mediterranean-region,0.0,0,
82,NAVTRONIC,http://www.navtronic-project.eu/,http://www.navtronic-project.eu/userdata/file/Newsletters%20and%20leaflets/NAVTRONIC-Fact%20Sheet-2013.01.01.pdf,0.0,0,
83,COEXIST,http://www.coexistproject.eu/,http://www.cmrc.ie/projects/coexist-(interaction-in-coastal-waters-a-roadmap-to-sustainable-integration-of-aquaculture-and-fisheries).html,0.0,0,
84,TREAT OA,http://www.treatoa.eu/,http://www.treatoa.eu/wp-content/uploads/2013/09/treatoa_poster.pdf,0.0,0,
85,RAPTOR,http://www.raptor-project.eu/,http://www.ict.fraunhofer.de/content/dam/ict/en/documents/media/es/ES_Gasgeneratorgest%C3%BCtzte_Schutzvorrichtung_V01-1_en.pdf,0.0,0,
86,OCMOL,http://www.ocmol.eu/,http://www.ocmol.eu/uploads/media/OCMOL_brochure.pdf,0.0,0,
87,MEDEO,http://www.medeo-eu-ru.org/,http://www.medeo-eu-ru.org/,100.0,1,
88,SPWRT,http://spacewire-rt.org/,http://spacewire-rt.org/,100.0,1,
89,THESEUS,http://www.theseus-eu.org/,http://www.theseus-eu.org/,100.0,1,
90,HIVOCOMP,http://www.hivocomp.eu/,http://hivocomp.eu/,100.0,1,
91,NEUGENE,http://www.neugene.eu/,http://ec.europa.eu/research/health/biotechnology/new-therapies/projects-fp7-gt_en.html,0.0,0,
92,INTRICATE,http://www.intricate.eu/,http://www.intricate.eu/,100.0,1,
93,EUROCANPLATFORM,http://eurocanplatform.eu/,http://eurocanplatform.eu/news/5702-eurocanplatform-translational-cancer-research-summer-course--portugal--october-20-24--2014.php,0.0,0,
94,NAFISPACK,http://www.nafispack.com/,http://www.nafispack.com/,100.0,1,
95,SELECT-AND-ACT,http://www.neuro.ki.se/selact/site/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/select-and-act_en.html,0.0,0,
96,OPTISTEM,http://www.optistem.org/,http://www.optistem.org/our-research/clinical-applications,49.0,0,1
97,AEGOS,http://www.aegos-project.org/index.php,http://www.aegos-project.org/,83.0,1,
98,ACOBAR,http://acobar.nersc.no/,http://www.nersc.no/project/acobar,0.0,0,
99,HELIOS,http://helios-fp7.eu/,https://ec.europa.eu/programmes/horizon2020/en/news/cleaner-natural-gas-engines-ships,0.0,0,
100,ZF-CANCER,http://www.science.leidenuniv.nl/index.php/ibl/mcb/research_themes/zf_cancer,http://ec.europa.eu/research/health/medical-research/cancer/fp7-projects/zf-cancer_en.html,0.0,0,
101,IDEAS,http://www.ideasconsortium.eu/,http://www.efeo.fr/base.php?code=400,0.0,0,
102,WILCO,http://www.wilcoproject.eu/,http://www.wilcoproject.eu/,99.0,1,
103,AFFECTS,http://www.affects-fp7.eu/,http://www.affects-fp7.eu/,100.0,0,
104,GPRIX,http://www.gprix.eu/,http://tanjavos.com/gprix/,0.0,0,
105,SEABILLA,http://www.seabilla.eu/cms/,http://www.seabilla.eu/,99.0,1,
106,PARYLENS,http://www.parylens.eu/,http://www.parylens.eu/,100.0,0,
107,PREDICTA,http://www.predicta.eu/,http://www.predicta.eu/,99.0,1,
108,DERREG,http://www.derreg.eu/,http://www.derreg.eu/system/files/D5.1%20DERREG%20Conceptual%20Framework.pdf,0.0,0,
109,NEPHH,http://www.nephh-fp7.eu/,https://ec.europa.eu/research/industrial_technologies/pdf/life-cycle-assessment_en.pdf,0.0,0,
110,NUTRIMENTHE,http://www.nutrimenthe.eu/,http://www.nutrimenthe.eu/,100.0,1,
111,SYSINBIO,http://www.sysbio.se/SYSINBIO/,http://www.centersysbio.uni-stuttgart.de/Research/Projects/Completed/,0.0,0,
112,MANUVAR,http://www.manuvar.eu/,http://www.manuvar.eu/publications.html,0.0,0,
113,LIAA,http://www.project-leanautomation.eu/,http://www.project-leanautomation.eu/,100.0,1,
114,SENSYF,http://www.sensyf.eu/,http://www.sensyf.eu/,100.0,1,
115,EPITARGET,http://www.epitarget.eu/,http://www.epitarget.eu/,100.0,1,
116,DIABAT,http://www.diabat.org/,http://www.diabat.org/,100.0,1,
117,BIOMAGSCAR,http://www.biomagscar.eu/,http://www.euussciencetechnology.eu/content/biodegradable-magnetic-stent-coronary-artery-luminal-regeneration,0.0,0,
118,EU-CERT-ICD,http://www.eu-cert-icd.eu/,http://www.eu-cert-icd.eu/,100.0,1,
119,PRONIA,http://www.pronia.eu/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/pronia_en.html,0.0,0,
120,GANNET53,http://www.gannet53.eu/,http://www.gannet53.eu/about,33.0,0,1
121,OPTIMEX,http://www.ntnu.edu/optimex,https://clinicaltrials.gov/ct2/show/NCT02078947,0.0,0,
122,WWWFOREUROPE,http://www.foreurope.eu/,http://www.foreurope.eu/,100.0,1,
123,ONE-P,http://www.one-p.eu/,http://claudiozannoni.fci.unibo.it/onep_brief_description.pdf,0.0,0,
124,PROMARK,http://www.promark-fp7.eu/,http://ec.europa.eu/research/health/medical-research/cancer/fp7-projects/promark_en.html,0.0,0,
125,MOODINFLAME,http://moodinflame.eu/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/moodinflame_en.html,0.0,0,
126,MINANO,http://minano.vtt.fi/,http://minano.vtt.fi/,100.0,1,
127,REDD-FLAME,http://redd-flame.info/,http://www.copernicus.eu/projects/redd-flame,0.0,0,
128,SIDARUS,http://sidarus.nersc.no/,http://www.nersc.no/project/sidarus,0.0,0,
129,NANOPHOTO,http://www.bio.unipd.it/nanophoto/,http://ec.europa.eu/research/health/medical-research/cancer/fp7-projects/nanophoto_en.html,0.0,0,
130,ASFRISK,http://www.asfrisk.eu/,http://www.asfrisk.eu/,100.0,1,
131,SECIGD,http://www.igdtp.eu/,http://www.igdtp.eu/,97.0,1,
132,BUGWORKERS,http://www.bugworkersproject.eu/,http://www.bugworkersproject.eu/Portals/0/Public/BUGWORKERS-webinar-web.pdf,0.0,0,
133,FACET,http://www.ucd.ie/facet/,http://www.ucd.ie/facet/,100.0,1,
134,AMBIOCAS,http://www.ambiocas.eu/,http://www.ambiocas.eu/news/Ambiocas_Introductory_Brochure.pdf,0.0,0,
135,HABEAT,http://www.habeat.eu/,http://www.habeat.eu/,100.0,1,
136,TRANSPARENT_FOOD,http://uf.ilb.uni-bonn.de/transparentfood/index.html,http://www.transparentfood.eu/,100.0,1,
137,EFACTS,http://www.e-facts.eu/html/studies/home?asgsid=937c19af8a660d335338ef84ffdb650c,http://www.e-facts.eu/,85.0,1,
138,CONVERGE,http://www.converge-project.eu/,http://www.sed.inf.u-szeged.hu/m2m,0.0,0,
139,WOODWISDOM-NET 2,http://www.woodwisdom.net/,http://www.era-platform.eu/era-nets/woodwisdom-net-2/,0.0,0,
140,BETAIMAGE,http://www.betaimage.eu/index.php,http://ec.europa.eu/research/health/medical-research/diabetes-and-obesity/projects/betaimage_en.html,0.0,0,
141,FORGE,http://www.bgs.ac.uk/forge/,https://www.bgs.ac.uk/forge/,100.0,1,
142,SHARCO,http://www.sharco.eu/,http://www.sharco.eu/,100.0,1,
143,RECOSY,http://www.recosy.eu/,https://ec.europa.eu/jrc/sites/default/files/minisites/euradiss-2012/downloads/20121025-euradiss-recosy.pdf,0.0,0,
144,SKIN,http://web.emn.fr/x-subatech/skin/index.php?title=Main_Page,http://www.emn.fr/z-subatech/skin/index.php/Main_Page,97.0,1,
145,PEBS,http://www.pebs-eu.de/,http://www.pebs-eu.de/,100.0,1,
146,MODERN,http://www.modern-fp7.eu/,http://www.modern-fp7.eu/,100.0,1,
147,DORIS,http://www.doris-project.eu/,http://www.doris-project.eu/,99.0,1,
148,PROVISCOUT,http://www.proviscout.eu/,http://www.proviscout.eu/,100.0,1,
149,SOTERIA,http://soteria-space.eu/,http://soteria-space.eu/,100.0,1,
150,PROVISG,http://provisg.eu/,http://provisg.eu/,0.0,0,
151,SATURNE,http://www.saturne-project.com/,http://topganlasers.com/projects/,0.0,0,
152,SEMEP,http://www.ssg.group.shef.ac.uk/semep/,https://www.shef.ac.uk/acse/staff/mab,0.0,0,
153,ENDORSE,http://www.endorse-fp7.eu/,http://www.endorse-fp7.eu/,90.0,1,
